"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"1","Bladder Urothelial Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",38,790,"Bladder Urothelial Carcinoma","OtherCancerType",0.418105101649405,0.0350618361662843
"2","Brain Lower Grade Glioma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",52,776,"Brain Lower Grade Glioma","OtherCancerType",0.619540229885058,0.0792679954823566
"3","Colon Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",62,766,"Colon Adenocarcinoma","OtherCancerType",0.397865114022319,0.0598904971198838
"4","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",78,750,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.450628019323672,0.0788131699071343
"5","Lung Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",63,765,"Lung Adenocarcinoma","OtherCancerType",0.351528384279476,0.0517065811748961
"6","Prostate Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",104,724,"Prostate Adenocarcinoma","OtherCancerType",0.415638471829939,0.104879789599945
"7","Rectum Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",34,794,"Rectum Adenocarcinoma","OtherCancerType",0.49327731092437,0.0358479123947272
"8","Skin Cutaneous Melanoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",118,710,"Skin Cutaneous Melanoma","OtherCancerType",0.419450033534541,0.116135438928146
"9","Stomach Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",78,750,"Stomach Adenocarcinoma","OtherCancerType",0.663768115942029,0.285471957836185
"10","Thyroid Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",69,759,"Thyroid Carcinoma","OtherCancerType",0.482599118942731,0.0726817932665837
"11","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",107,721,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.502314814814815,0.133168313199446
"12","Bladder Urothelial Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",38,790,"Bladder Urothelial Carcinoma","OtherCancerType",0.418105101649405,0.0350618361662843
"13","Brain Lower Grade Glioma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",52,776,"Brain Lower Grade Glioma","OtherCancerType",0.619540229885058,0.0792679954823566
"14","Colon Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",62,766,"Colon Adenocarcinoma","OtherCancerType",0.397865114022319,0.0598904971198838
"15","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",78,750,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.450628019323672,0.0788131699071343
"16","Lung Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",57,111,"SolidTissueNormal","PrimaryTumor",0.481283422459893,0.672968531070755
"17","Prostate Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",104,724,"Prostate Adenocarcinoma","OtherCancerType",0.415638471829939,0.104879789599945
"18","Rectum Adenocarcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",34,794,"Rectum Adenocarcinoma","OtherCancerType",0.49327731092437,0.0358479123947272
"19","Skin Cutaneous Melanoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",118,710,"Skin Cutaneous Melanoma","OtherCancerType",0.419450033534541,0.116135438928146
"20","Stomach Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",36,117,"SolidTissueNormal","PrimaryTumor",0.502857142857143,0.781282950788135
"21","Thyroid Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",69,759,"Thyroid Carcinoma","OtherCancerType",0.482599118942731,0.0726817932665837
"22","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",107,721,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.502314814814815,0.133168313199446
"23","Bladder Urothelial Carcinoma","Primary Tumor","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",51,818,"Bladder Urothelial Carcinoma","OtherCancerType",0.626394557823129,0.143221323436831
"24","Brain Lower Grade Glioma","Primary Tumor","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",52,817,"Brain Lower Grade Glioma","OtherCancerType",0.592925170068027,0.0755797407624582
"25","Colon Adenocarcinoma","Primary Tumor","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",76,793,"Colon Adenocarcinoma","OtherCancerType",0.486191024165708,0.0769624813665152
"26","Head and Neck Squamous Cell Carcinoma","Primary Tumor","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",86,783,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.297094017094017,0.0632580998629355
"27","Lung Adenocarcinoma","Primary Tumor","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",111,758,"Lung Adenocarcinoma","OtherCancerType",0.495394473368042,0.11423802051271
"28","Prostate Adenocarcinoma","Primary Tumor","countsVbFinalNonzeroQCBinsWIS_HiSeq_HMS","metaDataFinalNonzeroQC_HiSeq_HMS_shuffled",116,753,"Prostate Adenocarcinoma","OtherCancerType",0.484967320261438,0.125935232379949
