"species","completeness","contamination","N50","size"
"Escherichia_coli",100,1043,43423,48678028
"Prevotella_oris",100,494.5,53109,19140265
"Bacteroides_fragilis",100,196.7,42861,14158353
"Treponema_denticola",100,219.7,16122,11805697
"Fusobacterium_nucleatum",100,310.5,3851,10627559
"Bacteroides_zoogleoformans",100,244.7,106507,9257513
"Treponema_SGB3603",100,239.5,38851,7990096
"Selenomonas_SGB5896",100,137.3,20114,6733814
"Tannerella_forsythia",100,110.5,18659,6694422
"Fusobacterium_necrophorum",100,160.4,126687,5698120
"Treponema_vincentii",98.18,100.3,39922,5481738
"Catonella_morbi",100,135.7,66395,4877990
"Bacteroides_vulgatus",88.81,5.455,5037,4231237
"Pseudomonas_aeruginosa",71.31,1.332,4130,4012157
"Haemophilus_parainfluenzae",99.42,92.73,94523,3916507
"Pseudomonas_stutzeri",86.72,2.852,4755,3595386
"Selenomonas_SGB5896",100,46.5,47857,3589312
"Selenomonas_infelix",90.51,46.31,14187,3559297
"Prevotella_timonensis",89.58,14.72,8099,3533828
"Capnocytophaga_leadbetteri",80.56,43.18,2981,3520678
"Fusobacterium_sp_oral_taxon_370",94.67,60.53,18896,3318815
"Dialister_pneumosintes",100,183.8,7156,3233763
"Catonella_morbi",68.22,5.525,7495,3218494
"Prevotella_sp_F0091",95.87,2.308,51853,3161802
"Prevotella_oris",94.4,23.58,6083,3157379
"Peptoniphilus_harei",87.71,38.24,54234,3045516
"Treponema_socranskii",87.41,15.65,11072,3019770
"Parvimonas_micra",100,99.52,16558,2990610
"Prevotella_baroniae",96.48,4.213,11857,2930575
"Treponema_SGB3588",95.02,0,31616,2886310
"Capnocytophaga_sputigena",97.61,2.608,11885,2867783
"Prevotella_nanceiensis",99.32,0.347,245004,2856964
"Treponema_denticola",99.19,3.763,131853,2810083
"Prevotella_denticola",98,0,151799,2809477
"Treponema_SGB3590",98.6,7.692,146135,2774282
"Prevotella_jejuni",81.5,0.987,11871,2702308
"Treponema_socranskii",99.3,1.398,62663,2662253
"Capnocytophaga_leadbetteri",92.8,12.66,9957,2655590
"Treponema_denticola",96.77,0,229044,2639750
"Catonella_morbi",85.03,2.147,10593,2613360
"Porphyromonas_uenonis",99.29,4.424,87010,2511010
"Prevotella_intermedia",99.14,1.351,97121,2508938
"Treponema_socranskii",87.67,8.125,8273,2459272
"Prevotella_intermedia",97.24,4.138,71619,2384878
"Campylobacter_rectus",94.43,5.022,18921,2381178
"Treponema_socranskii",97.9,0.874,12258,2366103
"Lachnoanaerobaculum_orale",86.56,5.732,4939,2274001
"Campylobacter_rectus",90.16,10.54,4914,2238457
"Prevotella_histicola",82.55,1.52,7346,2205632
"Campylobacter_rectus",97.61,1.115,17939,2201888
"Bacteroides_heparinolyticus",71.91,1.967,4392,2185998
"Campylobacter_rectus",85.62,0.37,41150,2175585
"Treponema_lecithinolyticum",95.45,0.427,24191,2156289
"Bacteroides_thetaiotaomicron",28.6,0,2517,2137703
"Fusobacterium_gonidiaformans",89.85,5.842,60374,2122087
"Bifidobacterium_dentium",82.61,2.789,4360,2088608
"Porphyromonas_endodontalis",97.5,5.836,25995,2068572
"Haemophilus_influenzae",100,21.7,19702,2056488
"Treponema_SGB3607",75.79,0.047,9161,1999620
"Prevotella_melaninogenica",77.38,2.573,4664,1966216
