"","diseaseType","sampleType","datasetName","metadataName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"1","Bladder Urothelial Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",124,1742,"Bladder Urothelial Carcinoma","OtherCancerType",0.888992440716579,0.589063526911882
"2","Brain Lower Grade Glioma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",91,1775,"Brain Lower Grade Glioma","OtherCancerType",0.987468671679198,0.941404439682817
"3","Breast Invasive Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",107,1759,"Breast Invasive Carcinoma","OtherCancerType",0.996797912713473,0.954624281849664
"4","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",70,1796,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.983713931669322,0.779599024089484
"5","Colon Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",109,1757,"Colon Adenocarcinoma","OtherCancerType",0.983752371916509,0.817691755996682
"6","Esophageal Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",48,1818,"Esophageal Carcinoma","OtherCancerType",0.997247706422018,0.925514050753493
"7","Glioblastoma Multiforme","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",71,1795,"Glioblastoma Multiforme","OtherCancerType",0.99964595503629,0.992224381996142
"8","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",143,1723,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.940199335548173,0.772576117962587
"9","Kidney Renal Papillary Cell Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",34,1832,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.993078324225865,0.538904168734576
"10","Liver Hepatocellular Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",32,1834,"Liver Hepatocellular Carcinoma","OtherCancerType",0.990505050505051,0.738731933330635
"11","Lung Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",94,1772,"Lung Adenocarcinoma","OtherCancerType",0.954196933010492,0.792399083160063
"12","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",67,1799,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.996938775510204,0.954846839841409
"13","Prostate Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",121,1745,"Prostate Adenocarcinoma","OtherCancerType",0.975249628213299,0.787823869948773
"14","Rectum Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",58,1808,"Rectum Adenocarcinoma","OtherCancerType",0.999240286520512,0.977999058500283
"15","Sarcoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",36,1830,"Sarcoma","OtherCancerType",0.979052823315118,0.85331986472189
"16","Skin Cutaneous Melanoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",158,1708,"Skin Cutaneous Melanoma","OtherCancerType",0.929604388297872,0.625136432830308
"17","Stomach Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",115,1751,"Stomach Adenocarcinoma","OtherCancerType",0.961680672268908,0.808172018689135
"18","Thyroid Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",137,1729,"Thyroid Carcinoma","OtherCancerType",0.949948206045767,0.749423804829624
"19","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",161,1705,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.958374103065884,0.839943078985398
"20","Uveal Melanoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",51,1815,"Uveal Melanoma","OtherCancerType",0.999877450980392,0.995697431924162
"21","Bladder Urothelial Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",124,1742,"Bladder Urothelial Carcinoma","OtherCancerType",0.888992440716579,0.589063526911882
"22","Bladder Urothelial Carcinoma","Primary Tumor vs Solid Tissue Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",48,557,"SolidTissueNormal","PrimaryTumor",0.869546621043627,0.987314181325538
"23","Breast Invasive Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",107,1759,"Breast Invasive Carcinoma","OtherCancerType",0.996797912713473,0.954624281849664
"24","Breast Invasive Carcinoma","Primary Tumor vs Solid Tissue Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",129,1238,"SolidTissueNormal","PrimaryTumor",0.948645197900411,0.9919752743847
"25","Colon Adenocarcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",109,1757,"Colon Adenocarcinoma","OtherCancerType",0.983752371916509,0.817691755996682
"26","Esophageal Carcinoma","Blood Derived Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",48,1818,"Esophageal Carcinoma","OtherCancerType",0.997247706422018,0.925514050753493
"27","Colon Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",70,825,"SolidTissueNormal","PrimaryTumor",0.953344900713322,0.995999643601894
"28","Esophageal Carcinoma","Primary Tumor vs Solid Tissue Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",37,253,"SolidTissueNormal","PrimaryTumor",0.84,0.969445703073798
"29","Head and Neck Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",70,691,"SolidTissueNormal","PrimaryTumor",0.941798941798942,0.993736246426327
"30","Kidney Chromophobe","Primary Tumor vs Solid Tissue Normal","snmDataSampleTypeWithExpStrategy","metadataSamplesAllQC",66,116,"SolidTissueNormal","PrimaryTumor",0.98297213622291,0.991692818091616
