"","diseaseType","sampleType","datasetName","minorityClassSize","majorityClassSize","minorityClassName","majorityClassName","aucroc","aupr"
"1","Breast Invasive Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",20,200,"Stage4","Stage1",0.291666666666667,0.0694980957667711
"2","Colon Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",53,69,"Stage4","Stage1",0.493333333333333,0.396858903732056
"3","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"4","Lung Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",39,343,"Stage4","Stage1",0.5650623885918,0.105392549476523
"5","Rectum Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",25,25,"Stage1","Stage1",0.306122448979592,0.562570875673316
"6","Rectum Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",25,25,"Stage4","Stage4",0.306122448979592,0.562570875673316
"7","Stomach Adenocarcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",93,124,"Stage4","Stage1",0.803803803803804,0.784354310335428
"8","Thyroid Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",76,363,"Stage4","Stage1",0.499158249158249,0.164900801915709
"9","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",124,1719,"Bladder Urothelial Carcinoma","OtherCancerType",0.942692206769877,0.575834798878405
"10","Brain Lower Grade Glioma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",91,1752,"Brain Lower Grade Glioma","OtherCancerType",0.948783068783069,0.622606065310115
"11","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",107,1736,"Breast Invasive Carcinoma","OtherCancerType",0.984435096153846,0.86101085080692
"12","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",70,1773,"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma","OtherCancerType",0.950228679042238,0.485308020509665
"13","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",109,1734,"Colon Adenocarcinoma","OtherCancerType",0.956310096153846,0.556790749118539
"14","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",48,1795,"Esophageal Carcinoma","OtherCancerType",0.993627190653213,0.824210065299034
"15","Glioblastoma Multiforme","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",70,1773,"Glioblastoma Multiforme","OtherCancerType",0.934714375392341,0.623424913299499
"16","Head and Neck Squamous Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",142,1701,"Head and Neck Squamous Cell Carcinoma","OtherCancerType",0.879411764705882,0.512437498062713
"17","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"18","Kidney Renal Papillary Cell Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",34,1809,"Kidney Renal Papillary Cell Carcinoma","OtherCancerType",0.919741697416974,0.465862137222779
"19","Liver Hepatocellular Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",32,1811,"Liver Hepatocellular Carcinoma","OtherCancerType",0.949048496009822,0.585754184412676
"20","Lung Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",91,1752,"Lung Adenocarcinoma","OtherCancerType",0.972204585537919,0.860318885664905
"21","Ovarian Serous Cystadenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",55,1788,"Ovarian Serous Cystadenocarcinoma","OtherCancerType",0.873250932835821,0.449671353552731
"22","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",121,1722,"Prostate Adenocarcinoma","OtherCancerType",0.968130921619294,0.619449871091534
"23","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",58,1785,"Rectum Adenocarcinoma","OtherCancerType",0.944255085211655,0.525514424358013
"24","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,1807,"Sarcoma","OtherCancerType",0.996678966789668,0.805852736665614
"25","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.938908784495471,0.577047450236451
"26","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",115,1728,"Stomach Adenocarcinoma","OtherCancerType",0.921417215534863,0.514169213612567
"27","Thyroid Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",137,1706,"Thyroid Carcinoma","OtherCancerType",0.95045582549759,0.69844522616798
"28","Uterine Corpus Endometrial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",155,1688,"Uterine Corpus Endometrial Carcinoma","OtherCancerType",0.942644784327204,0.615461244490462
"29","Uveal Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",51,1792,"Uveal Melanoma","OtherCancerType",0.993171942892613,0.845817873590753
"30","Bladder Urothelial Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",124,1719,"Bladder Urothelial Carcinoma","OtherCancerType",0.942692206769877,0.575834798878405
"31","Bladder Urothelial Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",48,548,"SolidTissueNormal","PrimaryTumor",0.879355400696864,0.986384723347774
"32","Breast Invasive Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",107,1736,"Breast Invasive Carcinoma","OtherCancerType",0.984435096153846,0.86101085080692
"33","Breast Invasive Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",129,1196,"SolidTissueNormal","PrimaryTumor",0.913995883563658,0.986590169559728
"34","Colon Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",109,1734,"Colon Adenocarcinoma","OtherCancerType",0.956310096153846,0.556790749118539
"35","Esophageal Carcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",48,1795,"Esophageal Carcinoma","OtherCancerType",0.993627190653213,0.824210065299034
"36","Colon Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",66,409,"SolidTissueNormal","PrimaryTumor",0.717428817946506,0.933406301668717
"37","Esophageal Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",37,253,"SolidTissueNormal","PrimaryTumor",0.677575757575758,0.931160152627523
"38","Kidney Renal Clear Cell Carcinoma","Stage I vs IV","vsnmDataGenusKrakenQCFiltWIS",170,495,"Stage4","Stage1",0.664414414414414,0.399789668720553
"39","Head and Neck Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",24,167,"SolidTissueNormal","PrimaryTumor",0.594285714285714,0.906906597932871
"40","Kidney Chromophobe","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",66,116,"SolidTissueNormal","PrimaryTumor",0.778637770897833,0.851897234427749
"41","Kidney Renal Clear Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",110,1015,"SolidTissueNormal","PrimaryTumor",0.960127591706539,0.995107809568518
"42","Kidney Renal Papillary Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",36,321,"SolidTissueNormal","PrimaryTumor",0.683333333333333,0.92371415276943
"43","Liver Hepatocellular Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",72,416,"SolidTissueNormal","PrimaryTumor",0.874039938556068,0.976263793420162
"44","Lung Adenocarcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",134,653,"SolidTissueNormal","PrimaryTumor",0.797564102564103,0.948604454188579
"45","Lung Squamous Cell Carcinoma","Primary Tumor vs Solid Tissue Normal","vsnmDataGenusKrakenQCFiltWIS",80,538,"SolidTissueNormal","PrimaryTumor",0.84083850931677,0.968877620051605
"46","Prostate Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",121,1722,"Prostate Adenocarcinoma","OtherCancerType",0.968130921619294,0.619449871091534
"47","Rectum Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",58,1785,"Rectum Adenocarcinoma","OtherCancerType",0.944255085211655,0.525514424358013
"48","Sarcoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",36,1807,"Sarcoma","OtherCancerType",0.996678966789668,0.805852736665614
"49","Skin Cutaneous Melanoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",158,1685,"Skin Cutaneous Melanoma","OtherCancerType",0.938908784495471,0.577047450236451
"50","Stomach Adenocarcinoma","Blood Derived Normal","vsnmDataGenusKrakenQCFiltWIS",115,1728,"Stomach Adenocarcinoma","OtherCancerType",0.921417215534863,0.514169213612567
